SKU,Category,make,SUB Category Type 1,SUB Category Type 2,SUB Category Type 3,SUB Category Type 4,SUB Category Type 5,SUB Category Type 6,SUB Category Type 7,SUB Category Type 8,SUB Category Type 9,SUB Category Type 10,Item Name,CAPACITY,Unit,Supplier,List Price,Discount,DP
85.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 80 AMP M7,,Nos,Satyam,30365.0,60.0,12146
86.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 95 AMP M7,,Nos,Satyam,36385.0,60.0,14554
87.0,Terminal,,RED,,,,,,,,,,CTS 16U RED,16.0,Nos,Anuroop,42.0,30.0,29.4
88.0,Terminal,,YELLOW,,,,,,,,,,CTS 16U YELLOW,16.0,Nos,Anuroop,42.0,30.0,29.4
89.0,Terminal,,BLUE,,,,,,,,,,CTS 16U BLUE,16.0,Nos,Anuroop,42.0,30.0,29.4
90.0,Terminal,,RED,,,,,,,,,,CTS 10U RED,10.0,Nos,Anuroop,25.0,30.0,17.5
91.0,Terminal,,YELLOW,,,,,,,,,,CTS 10U YELLOW,,Nos,Anuroop,25.0,30.0,17.5
92.0,Terminal,,BLUE,,,,,,,,,,CTS 10U BLUE,,Nos,Anuroop,25.0,30.0,17.5
93.0,Terminal,,BLACK,,,,,,,,,,CTS 10U BLACK,,Nos,Anuroop,25.0,30.0,17.5
94.0,Terminal,,GREY,,,,,,,,,,CTS 10U GREY,,Nos,Anuroop,25.0,30.0,17.5
95.0,Terminal,,GREEN ERTH,,,,,,,,,,CTS 6U GREEN ERTH,,Nos,Anuroop,93.0,30.0,65.1
96.0,Terminal,,RED,,,,,,,,,,CTS 6U RED,,Nos,Anuroop,20.0,30.0,14
97.0,Terminal,,YELLOW,,,,,,,,,,CTS 6U YELLOW,,Nos,Anuroop,20.0,30.0,14
98.0,Terminal,,BLUE,,,,,,,,,,CTS 6U BLUE,,Nos,Anuroop,20.0,30.0,14
99.0,Terminal,,BLACK,,,,,,,,,,CTS 6U BLACK,,Nos,Anuroop,20.0,30.0,14
100.0,Terminal,,GREY,,,,,,,,,,CTS 6U GREY,,Nos,Anuroop,20.0,30.0,14
101.0,Terminal,,RED,,,,,,,,,,CTS 4U RED,,Nos,Anuroop,11.0,7.0,10.23
102.0,Terminal,,YELLOW,,,,,,,,,,CTS 4U YELLOW,,Nos,Anuroop,11.0,7.0,10.23
103.0,Terminal,,BLUE,,,,,,,,,,CTS 4U BLUE,,Nos,Anuroop,11.0,7.0,10.23
104.0,Terminal,,BLACK,,,,,,,,,,CTS 4U BLACK ,,Nos,Anuroop,11.0,7.0,10.23
105.0,Terminal,,GREY,,,,,,,,,,CTS 4U GREY,,Nos,Anuroop,11.0,7.0,10.23
106.0,Terminal,,GREY,,,,,,,,,,CTS - 2.5U,,Nos,Anuroop,8.0,7.0,7.44
107.0,Terminal,,GREY,,,,,,,,,,EP - 2.5/4U,4.0,Nos,Anuroop,8.0,30.0,5.6
108.0,Terminal,,GREY,,,,,,,,,,EP - 6/10U,10.0,Nos,Anuroop,9.0,30.0,6.3
109.0,Terminal,,GREY,,,,,,,,,,END LOCK CA802,1.0,Nos,Anuroop,15.0,30.0,10.5
110.0,Din Rail,,1.0,,,,,,,,,,Din Rail 35X7.5,1.0,Meter,Ajitesh,88.8,30.0,62.16
111.0,Cable Tray,,25X60,,,,,,,,,,CABLE TREY 25X60 BTYPE,1.0,Meter,Ajitesh,185.0,40.0,111
112.0,Cable Tray,,25X45,,,,,,,,,,CABLE TREY 25X45 BTYPE,2.0,Meter,Ajitesh,170.0,40.0,102
113.0,Cable Tray,,45X60,,,,,,,,,,CABLE TREY 45X60 BTYPE,3.0,Meter,Ajitesh,312.0,40.0,187.2
114.0,Metal Box,,1.0,,,,,,,,,,Metal Box 450*350*210 DLC UPTO 2 PUMP ,1.0,Nos,Anand Engineering,2500.0,0.0,2500
115.0,Metal Box,,1.0,,,,,,,,,,Metal Box 500*400*210 DLC ,2.0,Nos,Anand Engineering,3000.0,0.0,3000
116.0,Metal Box,,1.0,,,,,,,,,,Metal Box Dewatering,3.0,Nos,Anand Engineering,960.0,0.0,960
117.0,Metal Box,,1.0,,,,,,,,,,Metal Box 500*400*250 DLC UPTO 4 PUMP ,4.0,Nos,Anand Engineering,3900.0,0.0,3900
118.0,Metal Box,,1.0,,,,,,,,,,Metal Box 600*400*250 DLC UPTO 4 PUMP ,5.0,Nos,Anand Engineering,4500.0,0.0,4500
119.0,Metal Box,,1.0,,,,,,,,,,Metal Box 600*700*250(1.6MM) ,6.0,Nos,Anand Engineering,5600.0,0.0,5600
120.0,Metal Box,,1.0,,,,,,,,,,Metal Box 500*600*250(1.6MM) ,7.0,Nos,Anand Engineering,3500.0,0.0,3500
121.0,Metal Box,,1.0,,,,,,,,,,Metal Box 700*500*250 (1.2mm),8.0,Nos,Anand Engineering,4700.0,0.0,4700
122.0,Metal Box,,1.0,,,,,,,,,,Metal Box 800*600*250 (1.6mm),9.0,Nos,Anand Engineering,7500.0,0.0,7500
123.0,Metal Box,,1.0,,,,,,,,,,Metal Box 900*700*250 (1.6mm),10.0,Nos,Anand Engineering,8500.0,0.0,8500
124.0,Metal Box,,1.0,,,,,,,,,,Metal Box 900*700*250 (1.6mm) outdoor,11.0,Nos,Anand Engineering,12000.0,0.0,12000
125.0,Metal Box,,1.0,,,,,,,,,,Metal Box 900*700*250 (1.6mm) OUTDOOR CONTROL PANEL ,12.0,Nos,Anand Engineering,17000.0,0.0,17000
126.0,Metal Box,,1.0,,,,,,,,,,Metal Box 900*750*330 (1.6mm),13.0,Nos,Anand Engineering,9500.0,0.0,9500
127.0,Metal Box,,1.0,,,,,,,,,,Metal Box 870 x 600 x 350 (1.6mm),14.0,Nos,Anand Engineering,9000.0,0.0,9000
128.0,Metal Box,,1.0,,,,,,,,,,Metal Box 900*900*350 (1.6mm),15.0,Nos,Anand Engineering,14000.0,0.0,14000
129.0,Metal Box,,1.0,,,,,,,,,,50HP 4PUMP 2VFD METAL BOX,16.0,Nos,Anand Engineering,40000.0,0.0,40000
130.0,Metal Box,,1.0,,,,,,,,,,60HP 3PUMP 3VFD METAL BOX,17.0,Nos,Anand Engineering,20000.0,0.0,20000
131.0,Metal Box,,1.0,,,,,,,,,,SOFT STARTER METAL BOX 40HP ,18.0,Nos,Anand Engineering,20000.0,0.0,20000
132.0,Metal Box,,1.0,,,,,,,,,,SOFT STARTER METAL BOX 50HP ,19.0,Nos,Anand Engineering,35000.0,0.0,35000
133.0,Metal Box,,1.0,,,,,,,,,,METAL BOX FOR 75HP ,20.0,Nos,Anand Engineering,40000.0,0.0,40000
134.0,Metal Box,,1.0,,,,,,,,,,Metal Box 850*650*210 STP  UPTO 15  PUMP ,21.0,Nos,Anand Engineering,4300.0,0.0,4300
135.0,Metal Box,,1.0,,,,,,,,,,Metal Box 900*500*250 UPTO 4 PUMP MULTY VFD ,22.0,Nos,Anand Engineering,7500.0,0.0,7500
136.0,Metal Box,,1.0,,,,,,,,,,Metal Box 950*600*375 UPTO 4 PUMP MULTY VFD ,23.0,Nos,Anand Engineering,10700.0,0.0,10700
137.0,Metal Box,,1.0,,,,,,,,,,Metal Box 850*550*375 UPTO 4 PUMP MULTY VFD ,24.0,Nos,Anand Engineering,9500.0,0.0,9500
138.0,Metal Box,,1.0,,,,,,,,,,Metal Box 650*400*300 ,25.0,Nos,Anand Engineering,600.0,0.0,600
139.0,Metal Box,,1.0,,,,,,,,,,Metal Box 700*600*300 UPTO 4 PUMP MULTY VFD ,26.0,Nos,Anand Engineering,7500.0,0.0,7500
140.0,Metal Box,,1.0,,,,,,,,,,Metal Box 650*950*300(1.6MM) ,27.0,Nos,Anand Engineering,7600.0,0.0,7600
141.0,Metal Box,,1.0,,,,,,,,,,METAL BOX 450*350*250MM,28.0,Nos,,3500.0,0.0,3500
142.0,Metal Box,,1.0,,,,,,,,,,METAL BOX 2100*600*400MM,29.0,Nos,,30000.0,0.0,30000
143.0,Metal Box,,1.0,,,,,,,,,,METAL BOX 900*900*300MM,30.0,Nos,,20000.0,0.0,20000
144.0,Fan,,4.0,,,,,,,,,,"Exaust Fan 4"" 230VAC",4.0,Nos,Anuroop,370.0,0.0,370
145.0,Filter,,4.0,,,,,,,,,,"FAN FILTER 4"" (AIR FILTER )",4.0,Nos,Anuroop,47.0,30.0,32.9
146.0,Tube,,1.0,,,,,,,,,,TUBE LIGHT 1 FEET,1.0,Nos,Anuroop,130.0,0.0,130
147.0,Switch,,1.0,,,,,,,,,,DOOR LIMIT SWITCH  1NO 1NC,1.0,Nos,Anuroop,268.0,45.0,147.4
148.0,Wire,,RED,,,,,,,,,,WIRE 30 SQMM RED,30.0,Meter,Thakur,1275.0,50.0,637.5
149.0,Wire,,YELLOW,,,,,,,,,,WIRE 30 SQMM YELLOW,30.0,Meter,Thakur,1275.0,50.0,637.5
150.0,Wire,,BLUE,,,,,,,,,,WIRE 30 SQMM BLUE,,Meter,Thakur,1275.0,50.0,637.5
151.0,Wire,,BLACK,,,,,,,,,,WIRE 30 SQMM BLACK,,Meter,Thakur,1275.0,50.0,637.5
152.0,Wire,,RED,,,,,,,,,,WIRE 25 SQMM RED,25.0,Meter,Thakur,1175.0,50.0,587.5
153.0,Wire,,YELLOW,,,,,,,,,,WIRE 25 SQMM YELLOW,,Meter,Thakur,1175.0,50.0,587.5
154.0,Wire,,BLUE,,,,,,,,,,WIRE 25 SQMM BLUE,,Meter,Thakur,1175.0,50.0,587.5
155.0,Wire,,BLACK,,,,,,,,,,WIRE 25 SQMM BLACK,,Meter,Thakur,1175.0,50.0,587.5
156.0,Wire,,RED,,,,,,,,,,WIRE 16 SQMM RED,16.0,Meter,Thakur,975.0,50.0,487.5
157.0,Wire,,YELLOW,,,,,,,,,,WIRE 16 SQMM YELLOW,,Meter,Thakur,975.0,50.0,487.5
158.0,Wire,,BLUE,,,,,,,,,,WIRE 16 SQMM BLUE,,Meter,Thakur,975.0,50.0,487.5
159.0,Wire,,BLACK,,,,,,,,,,WIRE 16 SQMM BLACK,,Meter,Thakur,975.0,50.0,487.5
160.0,Wire,,RED,,,,,,,,,,WIRE 10 SQMM RED,,Meter,Thakur,675.0,50.0,337.5
161.0,Wire,,YELLOW,,,,,,,,,,WIRE  10 SQMM YELLOW,,Meter,Thakur,675.0,50.0,337.5
162.0,Wire,,BLUE,,,,,,,,,,WIRE 10 SQMM BLUE,,Meter,Thakur,675.0,50.0,337.5
163.0,Wire,,BLACK,,,,,,,,,,WIRE 10 SQMM BLACK,,Meter,Thakur,675.0,50.0,337.5
164.0,Wire,,RED,,,,,,,,,,WIRE 6 SQMM RED,,Meter,Thakur,576.0,50.0,288
165.0,Wire,,YELLOW,,,,,,,,,,WIRE 6 SQMM YELLOW,,Meter,Thakur,576.0,50.0,288
166.0,Wire,,BLUE,,,,,,,,,,WIRE 6 SQMM BLUE,,Meter,Thakur,576.0,50.0,288
167.0,Wire,,BLACK,,,,,,,,,,WIRE 6 SQMM BLACK,,Meter,Thakur,576.0,50.0,288
168.0,Wire,,RED,,,,,,,,,,WIRE 4 SQMM RED,,Meter,Thakur,150.0,50.0,75
169.0,Wire,,YELLOW,,,,,,,,,,WIRE 4 SQMM YELLOW,,Meter,Thakur,150.0,50.0,75
170.0,Wire,,BLUE,,,,,,,,,,WIRE 4 SQMM BLUE,,Meter,Thakur,150.0,50.0,75
171.0,Wire,,BLACK,,,,,,,,,,WIRE 4 SQMM BLACK,,Meter,Thakur,150.0,50.0,75
172.0,Wire,,RED,,,,,,,,,,WIRE 2.5 SQMM RED,,Meter,Thakur,95.0,50.0,47.5
173.0,Wire,,YELLOW,,,,,,,,,,WIRE  2.5 SQMM YELLOW,,Meter,Thakur,95.0,50.0,47.5
174.0,Wire,,BLUE,,,,,,,,,,WIRE 2.5 SQMM BLUE,,Meter,Thakur,95.0,50.0,47.5
175.0,Wire,,BLACK,,,,,,,,,,WIRE 2.5 SQMM BLACK,,Meter,Thakur,95.0,50.0,47.5
176.0,Wire,,RED,,,,,,,,,,WIRE 0.5 SQMM RED,0.5,Meter,Thakur,25.0,50.0,12.5
177.0,Wire,,YELLOW,,,,,,,,,,WIRE 0.5 SQMM YELLOW,,Meter,Thakur,25.0,50.0,12.5
178.0,Wire,,BLUE,,,,,,,,,,WIRE 0.5 SQMM BLUE,,Meter,Thakur,25.0,50.0,12.5
179.0,Wire,,BLACK,,,,,,,,,,WIRE 0.5 SQMM BLACK,,Meter,Thakur,25.0,50.0,12.5
180.0,Wire,,GREY,,,,,,,,,,WIRE 0.5 SQMM GREY,,Meter,Thakur,25.0,50.0,12.5
181.0,Wire,,GREEN,,,,,,,,,,WIRE 0.5 SQMM YELLOW -GREEN,,Meter,Thakur,25.0,50.0,12.5
182.0,Wire,,SHILLEDE,,,,,,,,,,2 core wire SHILLEDE,0.5,Meter,Thakur,33.3,0.0,33.3
183.0,Wire,,SHILLEDE,,,,,,,,,,4 core wire 0.5 Sqmm poly cab ,0.5,Meter,Thakur,55.4,50.0,27.7
184.0,Lugs,,single,,,,,,,,,,Lugs End Sleeve 0.5 Sqmm,0.5,Nos,Anuroop,1.0,50.0,0.5
185.0,Lugs,,twin,,,,,,,,,,Lugs End Sleeve 0.5 Sqmm twin ,,Nos,Anuroop,1.0,50.0,0.5
186.0,Lugs,,single,,,,,,,,,,Lugs End Sleeve 2.5 Sqmm,,Nos,Anuroop,1.5,50.0,0.75
187.0,Lugs,,Twin,,,,,,,,,,Lugs End Sleeve 2.5 Sqmm Twin,,Nos,Anuroop,2.5,50.0,1.25
188.0,Lugs,,single,,,,,,,,,,Lugs End Sleeve 4 Sqmm,4.0,Nos,Anuroop,3.0,50.0,1.5
189.0,Lugs,,Twin,,,,,,,,,,Lugs End Sleeve 4 Sqmm Twin,,Nos,Anuroop,3.5,50.0,1.75
190.0,Lugs,,COPPER,,,,,,,,,,LUGS 6 SQMM PIN COPPER,6.0,Nos,Anuroop,3.0,0.0,3
191.0,Lugs,,COPPER,,,,,,,,,,LUGS 6 SQMM RING COPPER,,Nos,Anuroop,4.0,0.0,4
192.0,Lugs,,COPPER,,,,,,,,,,LUGS 10 SQMM PIN COPPER,,Nos,Anuroop,8.0,0.0,8
193.0,Lugs,,COPPER,,,,,,,,,,LUGS 10 SQMM RING COPPER,,Nos,Anuroop,8.0,0.0,8
194.0,Lugs,,COPPER,,,,,,,,,,LUGS 16 SQMM PIN COPPER,,Nos,Anuroop,8.0,0.0,8
195.0,Lugs,,COPPER,,,,,,,,,,LUGS 16 SQMM RING COPPER,,Nos,Anuroop,8.02,30.0,5.614
196.0,Lugs,,COPPER,,,,,,,,,,LUGS 25 SQMM PIN COPPER,,Nos,Anuroop,12.0,0.0,12
197.0,Lugs,,COPPER,,,,,,,,,,LUGS 25 SQMM RING COPPER,,Nos,Anuroop,18.0,30.0,12.6
198.0,Lugs,,COPPER,,,,,,,,,,LUGS 30 SQMM PIN COPPER,,Nos,Anuroop,40.0,0.0,40
199.0,Lugs,,COPPER,,,,,,,,,,LUGS 30 SQMM RING COPPER,,Nos,Anuroop,60.0,30.0,42
200.0,Spiral,,1.0,,,,,,,,,,Spiral Sleeve 9mm,9.0,Meter,Bharat Trading Co.,7.2,0.0,7.2
201.0,Spiral,,1.0,,,,,,,,,,Spiral Sleeve 10mm,,Meter,Bharat Trading Co.,7.2,0.0,7.2
202.0,Spiral,,1.0,,,,,,,,,,Spiral Sleeve 6mm,,Meter,Bharat Trading Co.,6.0,0.0,6
203.0,Spiral,,1.0,,,,,,,,,,Spiral Sleeve 3mm,,Meter,Bharat Trading Co.,5.0,0.0,5
204.0,Cable Tie,,1.0,,,,,,,,,,Cable Tie 2.5 X 100,1.0,Nos,Anuroop,4.0,70.0,1.2
205.0,Cable Tie,,1.0,,,,,,,,,,Cable Tie 2.5 X 150,2.0,Nos,Anuroop,5.0,70.0,1.5
206.0,Gasket,,1.0,,,,,,,,,,Gasket 25X5,3.0,Meter,Ajitesh,10.0,10.0,9
207.0,Screw,,Tap,,,,,,,,,,Screw 8*13 Self Tap,1.0,Nos,Mayura Traders,1.0,0.0,1
208.0,Screw,,Tap,,,,,,,,,,Screw 8*19 Self Tap,2.0,Nos,Mayura Traders,1.0,0.0,1
209.0,Screw,,plate,,,,,,,,,,Screw 6*12 base plate ,3.0,Nos,Mayura Traders,1.7,0.0,1.7
210.0,Screw,,plate,,,,,,,,,,Screw M3X6,4.0,Nos,Mayura Traders,1.0,0.0,1
211.0,Screw,,plate,,,,,,,,,,SELF TAP SCREW 6X9.5,5.0,Nos,Mayura Traders,0.5,0.0,0.5
212.0,Switch,,TNI,,,,,,,,,,2 Pole selector switch (TNI) ,2.0,Nos,Ajitesh,96.0,30.0,67.2
213.0,Switch,,TNI,,,,,,,,,,3 Pole selector switch (TNI) ,3.0,Nos,Ajitesh,150.0,30.0,105
214.0,Switch,,Element,,,,,,,,,,NO Element,1.0,nos,Ajitesh,87.0,30.0,60.9
215.0,Switch,,Element,,,,,,,,,,NC Element,2.0,Nos,Ajitesh,87.0,30.0,60.9
216.0,Switch,,INDICATOR,,,,,,,,,,RED INDICATOR ,1.0,Nos,Ajitesh,60.0,30.0,42
217.0,Switch,,INDICATOR,,,,,,,,,,YELLOW INDICATOR ,2.0,Nos,Ajitesh,60.0,30.0,42
